event_type,period,timestamp,possession_team,player,outcome,start_location_x,start_location_y
pass,1,00:19:47.153,Brazil,Fernando Luiz Rosa,Complete,33.0,43.0
pass,1,00:19:49.020,Brazil,João Miranda de Souza Filho,Complete,32.0,39.0
pass,1,00:19:53.100,Brazil,Marcelo Vieira da Silva Júnior,Complete,32.0,23.0
pass,1,00:19:57.820,Brazil,Philippe Coutinho Correia,Incomplete,54.0,38.0
pass,1,00:20:02.780,Belgium,Nacer Chadli,Complete,40.0,20.0
pass,1,00:20:21.380,Belgium,Nacer Chadli,Complete,55.0,1.0
pass,1,00:20:24.220,Belgium,Eden Hazard,Complete,56.0,8.0
pass,1,00:20:25.340,Belgium,Kevin De Bruyne,Complete,68.0,7.0
pass,1,00:20:31.420,Belgium,Eden Hazard,Complete,94.0,52.0
pass,1,00:20:33.140,Belgium,Nacer Chadli,Incomplete,113.0,55.0
pass,1,00:20:39.940,Belgium,Nacer Chadli,Incomplete,103.0,72.0
pass,1,00:20:45.260,Belgium,Marcelo Vieira da Silva Júnior,Incomplete,5.0,2.0
pass,1,00:20:48.793,Belgium,Kevin De Bruyne,Complete,93.0,73.0
pass,1,00:20:50.020,Belgium,Axel Witsel,Complete,85.0,56.0
pass,1,00:21:19.460,Brazil,Fágner Conserva Lemos,Complete,51.0,58.0
pass,1,00:21:20.830,Brazil,José Paulo Bezzera Maciel Júnior,Complete,49.0,56.0
pass,1,00:21:23.060,Brazil,Thiago Emiliano da Silva,Complete,36.0,52.0
pass,1,00:21:26.980,Brazil,João Miranda de Souza Filho,Complete,48.0,25.0
pass,1,00:21:29.620,Brazil,Marcelo Vieira da Silva Júnior,Complete,56.0,6.0
pass,1,00:21:30.513,Brazil,Neymar da Silva Santos Junior,Complete,65.0,5.0
pass,1,00:21:32.420,Brazil,Marcelo Vieira da Silva Júnior,Complete,56.0,4.0
pass,1,00:21:37.020,Brazil,João Miranda de Souza Filho,Complete,54.0,30.0
pass,1,00:21:39.500,Brazil,Neymar da Silva Santos Junior,Complete,63.0,25.0
pass,1,00:21:46.100,Brazil,Marcelo Vieira da Silva Júnior,Complete,87.0,17.0
pass,1,00:21:48.820,Brazil,Fernando Luiz Rosa,Complete,75.0,41.0
pass,1,00:21:55.460,Brazil,Willian Borges da Silva,Incomplete,106.0,65.0
pass,1,00:22:05.300,Belgium,Kevin De Bruyne,Complete,82.0,30.0
pass,1,00:22:53.100,Belgium,Kevin De Bruyne,Complete,120.0,80.0
pass,1,00:23:01.140,Belgium,Jan Vertonghen,Complete,79.0,4.0
pass,1,00:23:08.060,Belgium,Thibaut Courtois,Complete,25.0,26.0
pass,1,00:23:11.340,Belgium,Kevin De Bruyne,Incomplete,70.0,77.0
pass,1,00:23:16.220,Brazil,João Miranda de Souza Filho,Complete,31.0,19.0
pass,1,00:23:18.960,Brazil,Marcelo Vieira da Silva Júnior,Complete,40.0,5.0
pass,1,00:23:21.220,Brazil,Philippe Coutinho Correia,Complete,46.0,20.0
pass,1,00:23:23.140,Brazil,Fernando Luiz Rosa,Complete,37.0,36.0
pass,1,00:23:27.060,Brazil,José Paulo Bezzera Maciel Júnior,Complete,56.0,54.0
pass,1,00:23:29.020,Brazil,Fágner Conserva Lemos,Complete,53.0,67.0
pass,1,00:23:31.180,Brazil,Thiago Emiliano da Silva,Complete,44.0,53.0
pass,1,00:23:33.900,Brazil,Philippe Coutinho Correia,Complete,56.0,30.0
pass,1,00:23:36.780,Brazil,Marcelo Vieira da Silva Júnior,Complete,63.0,6.0
pass,1,00:23:40.540,Brazil,Neymar da Silva Santos Junior,Complete,66.0,23.0
pass,1,00:23:45.580,Brazil,Philippe Coutinho Correia,Complete,65.0,27.0
pass,1,00:23:47.420,Brazil,Fernando Luiz Rosa,Complete,54.0,34.0
pass,1,00:23:48.780,Brazil,José Paulo Bezzera Maciel Júnior,Complete,56.0,48.0
pass,1,00:23:50.540,Brazil,Thiago Emiliano da Silva,Complete,53.0,50.0
pass,1,00:24:20.060,Belgium,Thomas Meunier,Incomplete,18.0,80.0
pass,1,00:24:21.620,Brazil,Marcelo Vieira da Silva Júnior,Complete,80.0,5.0
pass,1,00:24:23.140,Brazil,Philippe Coutinho Correia,Complete,80.0,2.0
pass,1,00:24:26.460,Brazil,Marcelo Vieira da Silva Júnior,Incomplete,76.0,8.0
pass,1,00:24:29.180,Brazil,Gabriel Fernando de Jesus,Complete,94.0,11.0
pass,1,00:24:32.460,Brazil,Philippe Coutinho Correia,Complete,91.0,3.0
pass,1,00:24:39.100,Brazil,Neymar da Silva Santos Junior,Complete,95.0,20.0
pass,1,00:24:41.020,Brazil,Fernando Luiz Rosa,Complete,77.0,35.0
pass,1,00:24:48.940,Brazil,José Paulo Bezzera Maciel Júnior,Complete,99.0,63.0
pass,1,00:24:51.940,Brazil,Fágner Conserva Lemos,Complete,103.0,69.0
pass,1,00:24:53.540,Brazil,Willian Borges da Silva,Complete,106.0,65.0
pass,1,00:24:55.233,Brazil,José Paulo Bezzera Maciel Júnior,Complete,99.0,78.0
pass,1,00:25:07.020,Brazil,Fágner Conserva Lemos,Complete,84.0,80.0
pass,1,00:25:08.580,Brazil,Willian Borges da Silva,Complete,76.0,75.0
pass,1,00:25:11.860,Brazil,João Miranda de Souza Filho,Complete,55.0,51.0
pass,1,00:25:24.433,Belgium,Toby Alderweireld,Complete,5.0,61.0
pass,1,00:25:30.700,Belgium,Romelu Lukaku Menama,Complete,51.0,76.0
pass,1,00:25:34.340,Belgium,Axel Witsel,Complete,50.0,65.0
pass,1,00:25:35.940,Belgium,Vincent Kompany,Complete,37.0,48.0
pass,1,00:25:43.300,Belgium,Eden Hazard,Complete,84.0,25.0
pass,1,00:25:45.660,Belgium,Kevin De Bruyne,Incomplete,104.0,21.0
pass,1,00:26:06.620,Brazil,Philippe Coutinho Correia,Complete,62.0,6.0
pass,1,00:26:09.780,Belgium,Toby Alderweireld,Complete,36.0,58.0
pass,1,00:26:12.113,Belgium,Kevin De Bruyne,Complete,43.0,56.0
pass,1,00:26:16.980,Belgium,Romelu Lukaku Menama,Incomplete,65.0,72.0
pass,1,00:26:19.620,Brazil,Fernando Luiz Rosa,Complete,57.0,39.0
pass,1,00:26:21.140,Brazil,Willian Borges da Silva,Complete,54.0,50.0
pass,1,00:26:24.780,Brazil,José Paulo Bezzera Maciel Júnior,Complete,52.0,38.0
pass,1,00:26:27.140,Brazil,João Miranda de Souza Filho,Complete,45.0,35.0
pass,1,00:26:28.220,Brazil,Fernando Luiz Rosa,Complete,55.0,46.0
pass,1,00:26:30.660,Brazil,José Paulo Bezzera Maciel Júnior,Complete,53.0,47.0
pass,1,00:26:32.980,Brazil,Fágner Conserva Lemos,Complete,53.0,59.0
pass,1,00:26:36.180,Brazil,José Paulo Bezzera Maciel Júnior,Complete,55.0,49.0
pass,1,00:26:44.020,Brazil,Philippe Coutinho Correia,Complete,72.0,39.0
pass,1,00:26:45.940,Brazil,José Paulo Bezzera Maciel Júnior,Complete,66.0,50.0
pass,1,00:26:47.300,Brazil,Willian Borges da Silva,Complete,70.0,55.0
pass,1,00:26:49.940,Brazil,José Paulo Bezzera Maciel Júnior,Complete,60.0,52.0
pass,1,00:26:53.620,Brazil,João Miranda de Souza Filho,Complete,58.0,33.0
pass,1,00:27:02.260,Brazil,Marcelo Vieira da Silva Júnior,Complete,77.0,15.0
pass,1,00:27:04.433,Brazil,João Miranda de Souza Filho,Complete,58.0,27.0
pass,1,00:27:14.700,Brazil,Thiago Emiliano da Silva,Incomplete,77.0,39.0
pass,1,00:27:17.100,Belgium,Marouane Fellaini-Bakkioui,Complete,32.0,64.0
